columna1,columna2,ventas,columna3,columna4,columna5
B,C,708,D,D,C
A,C,905,B,B,A
B,D,833,A,D,A
D,D,804,A,A,D
C,D,903,A,C,A
A,D,852,A,A,C
C,A,996,B,D,A
A,C,663,B,D,B
D,D,865,B,B,B
A,D,595,B,A,B
B,C,708,D,D,C
A,C,905,B,B,A
B,D,833,A,D,A
D,D,804,A,A,D
C,D,903,A,C,A
A,D,852,A,A,C
C,A,996,B,D,A
A,C,663,B,D,B
D,D,865,B,B,B
A,D,595,B,A,B
B,C,708,D,D,C
A,C,905,B,B,A
B,D,833,A,D,A
D,D,804,A,A,D
C,D,903,A,C,A
A,D,852,A,A,C
C,A,996,B,D,A
A,C,663,B,D,B
D,D,865,B,B,B
A,D,595,B,A,B
